client_identifier,bitcoin_address,credit_card_type
18,1ErM8yuF3ytzzxLy1uPvQuRveLBygxN15x,china-unionpay
32,12sxmYnPcADAXw1YkxdapRsft2PwHZke7A,maestro
33,1GZ7QB7GUFSWnkBHmsj4C4EZYMWni6BVn4,mastercard
34,12o8zrHx6snCPbtkoD9im4ozBtNkHRjeRV,visa-electron
36,15X53Z9B9jUNrvFpbr7D554uSc5RL7Pnkg,diners-club-international
62,16qpYVt6YAAx4JYjzbA8SwTUHoTyB4twRF,jcb
67,12ya1ED93ApPBQRSCuqiehip8KfPEzXYaj,bankcard
70,1F8zXTEaf4AFpztMNzQZfo5NUreptaArTD,mastercard
91,19MZSy1H8S4SaXsmSc3n7AaL2GxQkQkEZx,diners-club-carte-blanche
105,13j6FKzrLgumLUqeYH4baeY5qZgiwGW5UC,jcb
108,1RcsodKknm8thkCL6F4Vcmo7f4A7r6ydj,maestro
109,1HxV2jkyM3PXbsH4qGsVX3hwcAb4SMi4AD,jcb
110,15cRJ4mzZd4Vgd33xbVjEtYw9c6f1WfGkC,china-unionpay
124,1CB7AdhTFBXmxuABm58yKmCmsvVqDjT9P1,maestro
128,16DbYq1KR8DVSQu5E9WU9ohuofBm5AHB2Q,diners-club-enroute
165,1KgbP1KXt5xs2sBLudwt7SZM14NZXN2yNd,jcb
177,1AJzqEgbbFh2TNLFZrWp1XgCY16gQQ3pBe,americanexpress
189,1PktCHyic9G4aZu15Dd3N1PUf45wW4MmFs,jcb
194,12KTfvJwTfnJn3dFtZ8KaLycn5noXetTFo,jcb
197,1Q6UV84patYXfzEdAabyanzRe4cpNHdfkC,diners-club-enroute
199,1GYuD7hkkRkCeVcx9tMXzQ1LwfAUcHUQfN,jcb
239,19KrAve717pGFqYLiQvw63yV3Ar6XabJhD,mastercard
248,16WS73NGVmHfpuWqPkEjN9pirzG9qkgvPJ,americanexpress
255,1JtjCw3Nj42ZPgeFkgFJAPcVCyvt4sMLPh,jcb
293,1PJgSoTde2rSpfYRYpied1y35KVke7kvXo,jcb
294,1DNGHS7oy3K38AnzdAUt8sDw2Dc4WWCj3e,maestro
296,1A3rYCZeBfy1V1W3ypcfVdZm6TCU3TFkLv,jcb
299,1C74dmFYGZiSzsZH6Lw41bWCu8U3mTvcth,diners-club-carte-blanche
326,16tRkPChNu4RTqJ7tkZa52os2HZvh2hjif,americanexpress
329,18nNxGMaqhqrt4sZs5h3fQDDLpJL5wopFy,solo
345,17AGnU1HVmvAt8gwZ4PoF8bGiPS4ARbRxi,jcb
354,16Q23WzZFnnADqSq9z2oRDJZE7SJ2bFHrS,diners-club-carte-blanche
360,1DTzwp1kZCBx9FED2678d5g5ArrefirrXW,laser
367,1FCv1LeZu798EhajuFMZg49zb5D7KTMZWE,mastercard
379,1HZN5ZVgPqK1iVLKVMxH658kZ3pBDBcEw,jcb
390,1FpFASo8TTHYuefzybjiNyDfuaFmBGoGwn,jcb
406,1BbeY2TE3u7ARieG5FKuSZzbLFHyBkFoQF,americanexpress
414,14mRf7cFYsFjerWYsVWEvGN2zRM7tsLVpT,jcb
